eps 0 : 46838.7402006 with explore rate: 0.3 , time: 138
eps 1 : 46772.2241915 with explore rate: 0.297 , time: 127
eps 2 : 46994.1578352 with explore rate: 0.29403 , time: 127
eps 3 : 46930.0622931 with explore rate: 0.2910897 , time: 126
eps 4 : 46491.7873694 with explore rate: 0.288178803 , time: 126
eps 5 : 47002.1410553 with explore rate: 0.28529701497 , time: 126
eps 6 : 46733.5092499 with explore rate: 0.28244404482 , time: 126
eps 7 : 46994.0234384 with explore rate: 0.279619604372 , time: 126
eps 8 : 46962.4678685 with explore rate: 0.276823408328 , time: 135
eps 9 : 46734.3929446 with explore rate: 0.274055174245 , time: 133
eps 10 : 46469.2069687 with explore rate: 0.271314622503 , time: 132
eps 11 : 45967.9488699 with explore rate: 0.268601476278 , time: 127
eps 12 : 46340.353887 with explore rate: 0.265915461515 , time: 131
eps 13 : 46778.3536702 with explore rate: 0.2632563069 , time: 132
eps 14 : 46624.9840879 with explore rate: 0.260623743831 , time: 128
eps 15 : 46474.6726775 with explore rate: 0.258017506392 , time: 132
eps 16 : 46924.1582665 with explore rate: 0.255437331328 , time: 127
eps 17 : 46720.0530773 with explore rate: 0.252882958015 , time: 132
eps 18 : 46796.1333859 with explore rate: 0.250354128435 , time: 138
eps 19 : 47233.6066457 with explore rate: 0.247850587151 , time: 135
eps 20 : 47244.7805479 with explore rate: 0.245372081279 , time: 126
eps 21 : 47310.8919434 with explore rate: 0.242918360466 , time: 126
eps 22 : 47225.7866522 with explore rate: 0.240489176862 , time: 127
eps 23 : 47460.4631822 with explore rate: 0.238084285093 , time: 126
eps 24 : 47429.1667065 with explore rate: 0.235703442242 , time: 127
eps 25 : 46821.1374218 with explore rate: 0.23334640782 , time: 126
eps 26 : 47177.3455185 with explore rate: 0.231012943742 , time: 126
eps 27 : 46773.6523212 with explore rate: 0.228702814304 , time: 127
eps 28 : 46877.8475759 with explore rate: 0.226415786161 , time: 126
eps 29 : 46281.9251397 with explore rate: 0.224151628299 , time: 127
eps 30 : 46808.1795347 with explore rate: 0.221910112016 , time: 127
eps 31 : 46821.821513 with explore rate: 0.219691010896 , time: 127
eps 32 : 46938.9268075 with explore rate: 0.217494100787 , time: 127
eps 33 : 47077.4764979 with explore rate: 0.215319159779 , time: 127
eps 34 : 46531.7832321 with explore rate: 0.213165968182 , time: 127
eps 35 : 46278.5722913 with explore rate: 0.2110343085 , time: 127
eps 36 : 46210.1264481 with explore rate: 0.208923965415 , time: 127
eps 37 : 47139.7320374 with explore rate: 0.206834725761 , time: 127
eps 38 : 46993.4826873 with explore rate: 0.204766378503 , time: 127
eps 39 : 46951.9182674 with explore rate: 0.202718714718 , time: 127
eps 40 : 47098.7526984 with explore rate: 0.200691527571 , time: 127
eps 41 : 46478.9025 with explore rate: 0.198684612295 , time: 127
eps 42 : 47334.7166165 with explore rate: 0.196697766172 , time: 130
eps 43 : 46902.5454839 with explore rate: 0.194730788511 , time: 129
eps 44 : 47051.1011055 with explore rate: 0.192783480625 , time: 129
eps 45 : 46749.6762775 with explore rate: 0.190855645819 , time: 129
eps 46 : 47246.5285732 with explore rate: 0.188947089361 , time: 129
eps 47 : 46743.3147782 with explore rate: 0.187057618467 , time: 129
eps 48 : 46586.4982174 with explore rate: 0.185187042283 , time: 131
eps 49 : 46862.9356777 with explore rate: 0.18333517186 , time: 129
eps 50 : 46558.805471 with explore rate: 0.181501820141 , time: 129
eps 51 : 46903.215782 with explore rate: 0.17968680194 , time: 130
eps 52 : 47280.8389859 with explore rate: 0.17788993392 , time: 129
eps 53 : 46761.0436661 with explore rate: 0.176111034581 , time: 130
eps 54 : 47191.3896704 with explore rate: 0.174349924235 , time: 132
eps 55 : 47362.196106 with explore rate: 0.172606424993 , time: 131
eps 56 : 47772.0897678 with explore rate: 0.170880360743 , time: 130
eps 57 : 47609.8847956 with explore rate: 0.169171557136 , time: 131
eps 58 : 47453.49859 with explore rate: 0.167479841564 , time: 130
eps 59 : 47098.492507 with explore rate: 0.165805043149 , time: 130
eps 60 : 47753.168351 with explore rate: 0.164146992717 , time: 129
eps 61 : 46866.7536229 with explore rate: 0.16250552279 , time: 130
eps 62 : 47343.136371 with explore rate: 0.160880467562 , time: 130
eps 63 : 46378.8010264 with explore rate: 0.159271662887 , time: 130
eps 64 : 46598.3540737 with explore rate: 0.157678946258 , time: 129
eps 65 : 46904.325558 with explore rate: 0.156102156795 , time: 128
eps 66 : 46513.7646769 with explore rate: 0.154541135227 , time: 128
eps 67 : 46463.6142147 with explore rate: 0.152995723875 , time: 128
eps 68 : 46297.6996279 with explore rate: 0.151465766636 , time: 128
eps 69 : 46714.0085106 with explore rate: 0.14995110897 , time: 128
eps 70 : 46918.0315184 with explore rate: 0.14845159788 , time: 128
eps 71 : 46674.9290853 with explore rate: 0.146967081901 , time: 128
eps 72 : 46746.6089008 with explore rate: 0.145497411082 , time: 128
eps 73 : 46533.5466642 with explore rate: 0.144042436971 , time: 128
eps 74 : 46826.2119504 with explore rate: 0.142602012602 , time: 128
eps 75 : 47260.9886871 with explore rate: 0.141175992476 , time: 128
eps 76 : 46753.8263858 with explore rate: 0.139764232551 , time: 128
eps 77 : 46317.9516668 with explore rate: 0.138366590225 , time: 128
eps 78 : 46901.0607607 with explore rate: 0.136982924323 , time: 128
eps 79 : 47128.4625615 with explore rate: 0.13561309508 , time: 128
eps 80 : 46991.2598067 with explore rate: 0.134256964129 , time: 129
eps 81 : 46956.5151843 with explore rate: 0.132914394488 , time: 128
eps 82 : 47137.8095572 with explore rate: 0.131585250543 , time: 129
eps 83 : 47246.2763914 with explore rate: 0.130269398038 , time: 129
eps 84 : 47363.1349984 with explore rate: 0.128966704057 , time: 128
eps 85 : 46831.8222253 with explore rate: 0.127677037017 , time: 128
eps 86 : 47345.0096485 with explore rate: 0.126400266646 , time: 128
eps 87 : 47155.9835389 with explore rate: 0.12513626398 , time: 128
eps 88 : 46941.3788724 with explore rate: 0.12388490134 , time: 129
eps 89 : 47770.3772787 with explore rate: 0.122646052327 , time: 128
