eps 0 : 47124.2438183 with explore rate: 0.3 loss: 6789853.0 , time: 125
eps 1 : 47609.0196782 with explore rate: 0.2955 loss: 6396794.0 , time: 124
eps 2 : 45252.9423275 with explore rate: 0.2910675 loss: 10544148.0 , time: 126
eps 3 : 45064.8482438 with explore rate: 0.2867014875 loss: 6940929.5 , time: 125
eps 4 : 46215.0484249 with explore rate: 0.282400965188 loss: 4792294.5 , time: 125
eps 5 : 45303.0405422 with explore rate: 0.27816495071 loss: 3345107.8 , time: 125
eps 6 : 45827.2291035 with explore rate: 0.273992476449 loss: 3095171.8 , time: 125
eps 7 : 46627.6488294 with explore rate: 0.269882589302 loss: 1705655.9 , time: 125
eps 8 : 45620.8975492 with explore rate: 0.265834350463 loss: 3456683.0 , time: 125
eps 9 : 47693.1970644 with explore rate: 0.261846835206 loss: 10308660.0 , time: 124
eps 10 : 47680.3773141 with explore rate: 0.257919132678 loss: 4509844.5 , time: 124
eps 11 : 47365.3543399 with explore rate: 0.254050345688 loss: 5552586.0 , time: 124
eps 12 : 46230.7057184 with explore rate: 0.250239590502 loss: 3265003.8 , time: 124
eps 13 : 45124.3560664 with explore rate: 0.246485996645 loss: 2733191.0 , time: 124
eps 14 : 44847.1881382 with explore rate: 0.242788706695 loss: 4920400.5 , time: 124
eps 15 : 45161.1233354 with explore rate: 0.239146876095 loss: 5551616.5 , time: 124
eps 16 : 48039.0552816 with explore rate: 0.235559672953 loss: 8137283.0 , time: 124
eps 17 : 48186.6812918 with explore rate: 0.232026277859 loss: 8186639.5 , time: 125
eps 18 : 45803.3932294 with explore rate: 0.228545883691 loss: 5959274.0 , time: 125
eps 19 : 44025.6328443 with explore rate: 0.225117695436 loss: 3860500.8 , time: 125
eps 20 : 43525.8844005 with explore rate: 0.221740930004 loss: 2673347.0 , time: 125
eps 21 : 45973.5223607 with explore rate: 0.218414816054 loss: 3732663.8 , time: 124
eps 22 : 45974.8050906 with explore rate: 0.215138593813 loss: 3801587.8 , time: 125
eps 23 : 45755.8296971 with explore rate: 0.211911514906 loss: 4189091.0 , time: 124
eps 24 : 46839.3931229 with explore rate: 0.208732842182 loss: 2247716.8 , time: 125
eps 25 : 47279.4985597 with explore rate: 0.20560184955 loss: 1992135.2 , time: 125
eps 26 : 47272.9947506 with explore rate: 0.202517821806 loss: 1425557.8 , time: 125
eps 27 : 47127.4958828 with explore rate: 0.199480054479 loss: 1237510.0 , time: 125
eps 28 : 45817.7593553 with explore rate: 0.196487853662 loss: 2535420.8 , time: 125
eps 29 : 46344.1705925 with explore rate: 0.193540535857 loss: 6720179.5 , time: 125
eps 30 : 45139.4377931 with explore rate: 0.190637427819 loss: 4327915.0 , time: 125
eps 31 : 47234.1628165 with explore rate: 0.187777866402 loss: 1805436.8 , time: 125
eps 32 : 45934.5840909 with explore rate: 0.184961198406 loss: 1434508.8 , time: 125
eps 33 : 45421.7212513 with explore rate: 0.18218678043 loss: 2003463.2 , time: 125
eps 34 : 46266.5184829 with explore rate: 0.179453978724 loss: 3758636.2 , time: 125
eps 35 : 47234.8181038 with explore rate: 0.176762169043 loss: 6667237.0 , time: 125
eps 36 : 45688.8294615 with explore rate: 0.174110736507 loss: 5280619.0 , time: 125
eps 37 : 44828.0552869 with explore rate: 0.171499075459 loss: 7193693.0 , time: 125
eps 38 : 45293.3667949 with explore rate: 0.168926589328 loss: 8549520.0 , time: 125
eps 39 : 46568.0851865 with explore rate: 0.166392690488 loss: 3096155.8 , time: 125
eps 40 : 45849.641308 with explore rate: 0.16389680013 loss: 2356650.0 , time: 125
eps 41 : 46563.9036476 with explore rate: 0.161438348128 loss: 2143272.2 , time: 125
eps 42 : 46111.0863761 with explore rate: 0.159016772906 loss: 3707187.8 , time: 125
eps 43 : 45543.5085763 with explore rate: 0.156631521313 loss: 3184660.2 , time: 125
eps 44 : 45262.6614436 with explore rate: 0.154282048493 loss: 4563795.5 , time: 125
eps 45 : 45323.4530718 with explore rate: 0.151967817766 loss: 4319620.5 , time: 125
eps 46 : 47005.2000598 with explore rate: 0.149688300499 loss: 5591988.0 , time: 126
eps 47 : 47301.9650871 with explore rate: 0.147442975992 loss: 5085401.0 , time: 125
eps 48 : 46481.9987738 with explore rate: 0.145231331352 loss: 6306034.0 , time: 126
eps 49 : 48337.0614268 with explore rate: 0.143052861382 loss: 6426186.0 , time: 126
eps 50 : 48356.8662229 with explore rate: 0.140907068461 loss: 5149908.5 , time: 126
eps 51 : 47459.2800146 with explore rate: 0.138793462434 loss: 1467995.6 , time: 126
eps 52 : 46780.7715352 with explore rate: 0.136711560497 loss: 3168579.0 , time: 126
eps 53 : 47124.325731 with explore rate: 0.13466088709 loss: 7762616.5 , time: 126
eps 54 : 46882.0737223 with explore rate: 0.132640973784 loss: 6013138.0 , time: 126
eps 55 : 44242.6487978 with explore rate: 0.130651359177 loss: 4194053.0 , time: 126
eps 56 : 45424.9017955 with explore rate: 0.128691588789 loss: 4550174.0 , time: 126
eps 57 : 46380.1568365 with explore rate: 0.126761214957 loss: 5665706.0 , time: 126
eps 58 : 46124.9480766 with explore rate: 0.124859796733 loss: 5310267.5 , time: 126
eps 59 : 47788.6840795 with explore rate: 0.122986899782 loss: 11286327.0 , time: 126
eps 60 : 48280.5540504 with explore rate: 0.121142096285 loss: 8654377.0 , time: 126
eps 61 : 47485.7419117 with explore rate: 0.119324964841 loss: 8479933.0 , time: 127
eps 62 : 46429.2626334 with explore rate: 0.117535090368 loss: 4998612.5 , time: 126
eps 63 : 46502.7430837 with explore rate: 0.115772064013 loss: 6171142.0 , time: 126
eps 64 : 46684.0877387 with explore rate: 0.114035483053 loss: 4306564.5 , time: 126
eps 65 : 48022.4932296 with explore rate: 0.112324950807 loss: 12430221.0 , time: 126
eps 66 : 46904.5357273 with explore rate: 0.110640076545 loss: 6758356.5 , time: 126
eps 67 : 47994.5524577 with explore rate: 0.108980475397 loss: 8555052.0 , time: 126
eps 68 : 48129.9903915 with explore rate: 0.107345768266 loss: 10703032.0 , time: 127
eps 69 : 48728.2928637 with explore rate: 0.105735581742 loss: 6645789.0 , time: 126
eps 70 : 48841.0416288 with explore rate: 0.104149548016 loss: 3631473.5 , time: 127
eps 71 : 48180.0129246 with explore rate: 0.102587304795 loss: 4275929.5 , time: 127
eps 72 : 46379.8432215 with explore rate: 0.101048495223 loss: 6842126.5 , time: 126
eps 73 : 46203.3232031 with explore rate: 0.0995327677951 loss: 9373159.0 , time: 126
eps 74 : 47855.1228962 with explore rate: 0.0980397762781 loss: 8139835.5 , time: 127
eps 75 : 46899.2847697 with explore rate: 0.096569179634 loss: 7816912.0 , time: 127
eps 76 : 44953.6405806 with explore rate: 0.0951206419395 loss: 7509958.0 , time: 127
eps 77 : 43741.4565441 with explore rate: 0.0936938323104 loss: 5440982.5 , time: 127
eps 78 : 42775.7738128 with explore rate: 0.0922884248257 loss: 3854659.8 , time: 127
eps 79 : 42486.5120878 with explore rate: 0.0909040984533 loss: 3024216.8 , time: 127
eps 80 : 42774.6293095 with explore rate: 0.0895405369765 loss: 4198272.5 , time: 127
eps 81 : 43440.3688232 with explore rate: 0.0881974289219 loss: 3937559.2 , time: 127
eps 82 : 42636.1025654 with explore rate: 0.0868744674881 loss: 3207259.8 , time: 127
eps 83 : 43745.933491 with explore rate: 0.0855713504757 loss: 3806477.0 , time: 127
eps 84 : 45156.852994 with explore rate: 0.0842877802186 loss: 3292544.0 , time: 127
eps 85 : 46484.0547578 with explore rate: 0.0830234635153 loss: 1835725.1 , time: 127
eps 86 : 45326.7444685 with explore rate: 0.0817781115626 loss: 2326233.0 , time: 127
